teryt;nazwa;typ;l_ludn_pow17l
1814082;Tryńcza;gmina wiejska;6748
1814092;Zarzecze;gmina wiejska;5825
1815012;Iwierzyce;gmina wiejska;6157
1815022;Ostrów;gmina wiejska;5777
1815052;Wielopole Skrzyńskie;gmina wiejska;6559
1816042;Chmielnik;gmina wiejska;5437
1816052;Dynów;gmina wiejska;5663
1816072;Hyżne;gmina wiejska;5594
1816082;Kamień;gmina wiejska;5559
1816092;Krasne;gmina wiejska;8719
1816102;Lubenia;gmina wiejska;5274
1816122;Świlcza;gmina wiejska;13244
1816132;Trzebownisko;gmina wiejska;16772
1817022;Besko;gmina wiejska;3529
1817032;Bukowsko;gmina wiejska;4359
1817042;Komańcza;gmina wiejska;4133
1817052;Sanok;gmina wiejska;14310
1817062;Tyrawa Wołoska;gmina wiejska;1571
1817082;Zarszyn;gmina wiejska;7628
1818022;Bojanów;gmina wiejska;6081
1818032;Pysznica;gmina wiejska;8899
1818042;Radomyśl nad Sanem;gmina wiejska;6058
1818062;Zaleszany;gmina wiejska;8871
1819012;Czudec;gmina wiejska;9565
1819022;Frysztak;gmina wiejska;8496
1819032;Niebylec;gmina wiejska;8549
1819052;Wiśniowa;gmina wiejska;6609
1820022;Gorzyce;gmina wiejska;10957
1820032;Grębów;gmina wiejska;8039
1821012;Baligród;gmina wiejska;2643
1821022;Cisna;gmina wiejska;1514
1821042;Olszanica;gmina wiejska;4139
1821052;Solina;gmina wiejska;4453
2001022;Augustów;gmina wiejska;5463
2001032;Bargłów Kościelny;gmina wiejska;4554
2001052;Nowinka;gmina wiejska;2369
2001062;Płaska;gmina wiejska;2171
2001072;Sztabin;gmina wiejska;4314
2002032;Dobrzyniewo Duże;gmina wiejska;7245
2002042;Gródek;gmina wiejska;4525
2002052;Juchnowiec Kościelny;gmina wiejska;12673
2002082;Poświętne;gmina wiejska;2882
2002112;Turośń Kościelna;gmina wiejska;4915
2002152;Zawady;gmina wiejska;2368
2003032;Bielsk Podlaski;gmina wiejska;5852
2003042;Boćki;gmina wiejska;3748
2003052;Brańsk;gmina wiejska;4909
2003062;Orla;gmina wiejska;2457
2003072;Rudka;gmina wiejska;1579
2003082;Wyszki;gmina wiejska;3734
2004022;Grajewo;gmina wiejska;4660
2004032;Radziłów;gmina wiejska;3970
2004062;Wąsosz;gmina wiejska;3050
2005022;Białowieża;gmina wiejska;1861
2005032;Czeremcha;gmina wiejska;2858
2005042;Czyże;gmina wiejska;1817
2005052;Dubicze Cerkiewne;gmina wiejska;1407
2005062;Hajnówka;gmina wiejska;3381
2005082;Narew;gmina wiejska;3125
2005092;Narewka;gmina wiejska;3272
2006022;Grabowo;gmina wiejska;2887
2006032;Kolno;gmina wiejska;6909
2006042;Mały Płock;gmina wiejska;4024
2006062;Turośl;gmina wiejska;4010
2007022;Łomża;gmina wiejska;8746
2007032;Miastkowo;gmina wiejska;3376
2007052;Piątnica;gmina wiejska;8645
2007062;Przytuły;gmina wiejska;1777
2007072;Śniadowo;gmina wiejska;4403
2007082;Wizna;gmina wiejska;3420
2007092;Zbójna;gmina wiejska;3487
2008022;Jasionówka;gmina wiejska;2394
2008032;Jaświły;gmina wiejska;4265
2008052;Krypno;gmina wiejska;3329
2008072;Trzcianne;gmina wiejska;3644
2009022;Giby;gmina wiejska;2344
2009032;Krasnopol;gmina wiejska;3162
2009042;Puńsk;gmina wiejska;3509
2009052;Sejny;gmina wiejska;3406
2010032;Dziadkowice;gmina wiejska;2379
2010042;Grodzisk;gmina wiejska;3592
2010052;Mielnik;gmina wiejska;2131
2010062;Milejczyce;gmina wiejska;1606
2010072;Nurzec-Stacja;gmina wiejska;3475
2010082;Perlejewo;gmina wiejska;2434
2010092;Siemiatycze;gmina wiejska;5170
2011022;Janów;gmina wiejska;3491
2011032;Korycin;gmina wiejska;2711
2011052;Kuźnica;gmina wiejska;3440
2011062;Nowy Dwór;gmina wiejska;2293
2011072;Sidra;gmina wiejska;3003
2011102;Szudziałowo;gmina wiejska;2508
2012012;Bakałarzewo;gmina wiejska;2543
2012022;Filipów;gmina wiejska;3553
2012032;Jeleniewo;gmina wiejska;2545
2012042;Przerośl;gmina wiejska;2405
2012052;Raczki;gmina wiejska;4767
2012062;Rutka-Tartak;gmina wiejska;1926
2012072;Suwałki;gmina wiejska;6052
2012082;Szypliszki;gmina wiejska;3189
2012092;Wiżajny;gmina wiejska;1961
2013042;Klukowo;gmina wiejska;3666
2013052;Kobylin-Borzymy;gmina wiejska;2743
2013062;Kulesze Kościelne;gmina wiejska;2525
2013072;Nowe Piekuty;gmina wiejska;3196
2013082;Sokoły;gmina wiejska;4747
2013102;Wysokie Mazowieckie;gmina wiejska;4336
2014022;Kołaki Kościelne;gmina wiejska;1947
2014032;Rutki;gmina wiejska;4622
2014042;Szumowo;gmina wiejska;3961
2014052;Zambrów;gmina wiejska;7092
2201012;Borzytuchom;gmina wiejska;2432
2201032;Czarna Dąbrówka;gmina wiejska;4517
2201042;Kołczygłowy;gmina wiejska;3361
2201052;Lipnica;gmina wiejska;4086
2201072;Parchowo;gmina wiejska;2838
2201082;Studzienice;gmina wiejska;2853
2201092;Trzebielino;gmina wiejska;2962
2201102;Tuchomie;gmina wiejska;3284
2202032;Chojnice;gmina wiejska;14386
2202052;Konarzyny;gmina wiejska;1750
2203032;Człuchów;gmina wiejska;8591
2203052;Koczała;gmina wiejska;2808
2203062;Przechlewo;gmina wiejska;5063
2203072;Rzeczenica;gmina wiejska;2989
2204022;Cedry Wielkie;gmina wiejska;5445
2204032;Kolbudy;gmina wiejska;12634
2204042;Pruszcz Gdański;gmina wiejska;21255
2204052;Przywidz;gmina wiejska;4552
2204062;Pszczółki;gmina wiejska;7286
2204072;Suchy Dąb;gmina wiejska;3308
2204082;Trąbki Wielkie;gmina wiejska;8598
2205012;Chmielno;gmina wiejska;5557
2205032;Przodkowo;gmina wiejska;6541
2205042;Sierakowice;gmina wiejska;13786
2205052;Somonino;gmina wiejska;7742
2205062;Stężyca;gmina wiejska;7389
2205072;Sulęczyno;gmina wiejska;4028
2206022;Dziemiany;gmina wiejska;3339
2206032;Karsin;gmina wiejska;4843
2206042;Kościerzyna;gmina wiejska;11899
2206052;Liniewo;gmina wiejska;3664
2206062;Lipusz;gmina wiejska;2791
2206072;Nowa Karczma;gmina wiejska;5081
2206082;Stara Kiszewa;gmina wiejska;5154
2207022;Gardeja;gmina wiejska;6535
2207032;Kwidzyn;gmina wiejska;8963
2207052;Ryjewo;gmina wiejska;4742
2207062;Sadlinki;gmina wiejska;4665
2208032;Cewice;gmina wiejska;5657
2208042;Nowa Wieś Lęborska;gmina wiejska;10580
2208052;Wicko;gmina wiejska;4713
2209032;Lichnowy;gmina wiejska;3674
2209042;Malbork;gmina wiejska;3712
2209062;Miłoradz;gmina wiejska;2714
2209082;Stare Pole;gmina wiejska;3742
2210032;Ostaszewo;gmina wiejska;2627
2210042;Stegna;gmina wiejska;8007
2210052;Sztutowo;gmina wiejska;2992
2211052;Kosakowo;gmina wiejska;10288
2211062;Krokowa;gmina wiejska;8160
2211072;Puck;gmina wiejska;19514
2212022;Damnica;gmina wiejska;4921
2212032;Dębnica Kaszubska;gmina wiejska;7761
2212042;Główczyce;gmina wiejska;7295
2212062;Kobylnica;gmina wiejska;9387
2212072;Potęgowo;gmina wiejska;5527
2212082;Słupsk;gmina wiejska;13755
2212092;Smołdzino;gmina wiejska;2825
2212102;Ustka;gmina wiejska;6718
2213042;Bobowo;gmina wiejska;2400
2213052;Kaliska;gmina wiejska;4239
2213062;Lubichowo;gmina wiejska;5039
2213072;Osieczna;gmina wiejska;2275
2213082;Osiek;gmina wiejska;2026
2213102;Skórcz;gmina wiejska;3620
2213112;Smętowo Graniczne;gmina wiejska;4198
2213122;Starogard Gdański;gmina wiejska;12591
2213132;Zblewo;gmina wiejska;8990
2214032;Morzeszczyn;gmina wiejska;2847
2214052;Subkowy;gmina wiejska;4284
2214062;Tczew;gmina wiejska;10905
2215042;Choczewo;gmina wiejska;4404
2215052;Gniewino;gmina wiejska;5694
2215062;Linia;gmina wiejska;4636
2215072;Luzino;gmina wiejska;11473
2215082;Łęczyce;gmina wiejska;9067
2215092;Szemud;gmina wiejska;12503
2215102;Wejherowo;gmina wiejska;18389
2216022;Mikołajki Pomorskie;gmina wiejska;2899
2216032;Stary Dzierzgoń;gmina wiejska;3270
2216042;Stary Targ;gmina wiejska;5076
2401042;Bobrowniki;gmina wiejska;9981
2401052;Mierzęcice;gmina wiejska;6388
2401062;Psary;gmina wiejska;9971
2402022;Bestwina;gmina wiejska;9329
2402032;Buczkowice;gmina wiejska;9035
2402052;Jasienica;gmina wiejska;18530
2402062;Jaworze;gmina wiejska;5877
2402072;Kozy;gmina wiejska;10344
2402082;Porąbka;gmina wiejska;12550
2402102;Wilkowice;gmina wiejska;11059
2403042;Brenna;gmina wiejska;8906
2403052;Chybie;gmina wiejska;7703
2403062;Dębowiec;gmina wiejska;4645
2403072;Goleszów;gmina wiejska;10743
2403082;Hażlach;gmina wiejska;8535
2403092;Istebna;gmina wiejska;9237
2403122;Zebrzydowice;gmina wiejska;10568
2404022;Dąbrowa Zielona;gmina wiejska;3335
2404032;Janów;gmina wiejska;4906
2404042;Kamienica Polska;gmina wiejska;4667
2404052;Kłomnice;gmina wiejska;11475
2404072;Konopiska;gmina wiejska;8956
2404082;Kruszyna;gmina wiejska;4037
2404092;Lelów;gmina wiejska;4161
2404102;Mstów;gmina wiejska;8857
2404112;Mykanów;gmina wiejska;12228
2404122;Olsztyn;gmina wiejska;6312
2404132;Poczesna;gmina wiejska;10658
2404142;Przyrów;gmina wiejska;3235
2404152;Rędziny;gmina wiejska;8372
2404162;Starcza;gmina wiejska;2290
2405032;Gierałtowice;gmina wiejska;9529
2405042;Pilchowice;gmina wiejska;9453
2405052;Rudziniec;gmina wiejska;8832
2405082;Wielowieś;gmina wiejska;4927
2406032;Lipie;gmina wiejska;5292
2406042;Miedźno;gmina wiejska;6239
2406052;Opatów;gmina wiejska;5586
2406062;Panki;gmina wiejska;4200
2406072;Popów;gmina wiejska;4935
2406082;Przystajń;gmina wiejska;4892
2406092;Wręczyca Wielka;gmina wiejska;14583
2407022;Boronów;gmina wiejska;2788
2407032;Ciasna;gmina wiejska;6269
2407042;Herby;gmina wiejska;5590
2407052;Kochanowice;gmina wiejska;5604
2407062;Koszęcin;gmina wiejska;9613
2407072;Pawonków;gmina wiejska;5466
2408042;Ornontowice;gmina wiejska;4750
2408052;Wyry;gmina wiejska;6228
2409032;Niegowa;gmina wiejska;4610
2409042;Poraj;gmina wiejska;9277
2410012;Goczałkowice-Zdrój;gmina wiejska;5445
2410022;Kobiór;gmina wiejska;3976
2410032;Miedźna;gmina wiejska;12985
2410042;Pawłowice;gmina wiejska;14312
2410062;Suszec;gmina wiejska;9310
2411022;Kornowac;gmina wiejska;4130
2411042;Krzyżanowice;gmina wiejska;9430
2411062;Nędza;gmina wiejska;6235
2411072;Pietrowice Wielkie;gmina wiejska;5820
2411082;Rudnik;gmina wiejska;4308
2412022;Gaszowice;gmina wiejska;7631
2412032;Jejkowice;gmina wiejska;3254
2412042;Lyski;gmina wiejska;7996
2412052;Świerklany;gmina wiejska;9657
2413052;Krupski Młyn;gmina wiejska;2709
2413062;Ożarowice;gmina wiejska;4738
2413072;Świerklaniec;gmina wiejska;9798
2413082;Tworóg;gmina wiejska;6763
2413092;Zbrosławice;gmina wiejska;13208
2414042;Bojszowy;gmina wiejska;6071
2414052;Chełm Śląski;gmina wiejska;5067
2415052;Godów;gmina wiejska;11028
2415062;Gorzyce;gmina wiejska;17000
2415072;Lubomia;gmina wiejska;6460
2415082;Marklowice;gmina wiejska;4341
2415092;Mszana;gmina wiejska;6098
2416032;Irządze;gmina wiejska;2283
2416042;Kroczyce;gmina wiejska;5146
2416092;Włodowice;gmina wiejska;4368
2416102;Żarnowiec;gmina wiejska;3797
2417022;Czernichów;gmina wiejska;5692
2417032;Gilowice;gmina wiejska;4937
2417042;Jeleśnia;gmina wiejska;10940
2417052;Koszarawa;gmina wiejska;2000
2417062;Lipowa;gmina wiejska;8540
2417072;Łękawica;gmina wiejska;3625
2417082;Łodygowice;gmina wiejska;11415
2417092;Milówka;gmina wiejska;8110
2417102;Radziechowy-Wieprz;gmina wiejska;10475
2417112;Rajcza;gmina wiejska;7375
2417122;Ślemień;gmina wiejska;2884
2417132;Świnna;gmina wiejska;6538
2417142;Ujsoły;gmina wiejska;3775
2417152;Węgierska Górka;gmina wiejska;12130
2601022;Gnojno;gmina wiejska;3683
2601032;Nowy Korczyn;gmina wiejska;5164
2601042;Pacanów;gmina wiejska;6261
2601052;Solec-Zdrój;gmina wiejska;4203
2601072;Tuczępy;gmina wiejska;3090
2601082;Wiślica;gmina wiejska;4680
2602012;Imielno;gmina wiejska;3614
2602042;Nagłowice;gmina wiejska;4107
2602052;Oksa;gmina wiejska;3746
2602072;Słupia;gmina wiejska;3589
2602082;Sobków;gmina wiejska;6903
2602092;Wodzisław;gmina wiejska;5948
2603012;Bejsce;gmina wiejska;3557
2603022;Czarnocin;gmina wiejska;3318
2603042;Opatowiec;gmina wiejska;2870
2604012;Bieliny;gmina wiejska;8064
2604062;Górno;gmina wiejska;11133
2604072;Łagów;gmina wiejska;5636
2604082;Łopuszno;gmina wiejska;7270
2604092;Masłów;gmina wiejska;8684
2604102;Miedziana Góra;gmina wiejska;9107
2604112;Mniów;gmina wiejska;7485
2604122;Morawica;gmina wiejska;12587
2604132;Nowa Słupia;gmina wiejska;8030
2604142;Piekoszów;gmina wiejska;13134
2604152;Pierzchnica;gmina wiejska;3874
2604162;Raków;gmina wiejska;4707
2604172;Sitkówka-Nowiny;gmina wiejska;6265
2604182;Strawczyn;gmina wiejska;8391
2604192;Zagnańsk;gmina wiejska;10874
2605012;Fałków;gmina wiejska;3808
2605022;Gowarczów;gmina wiejska;3852
2605042;Radoszyce;gmina wiejska;7373
2605052;Ruda Maleniecka;gmina wiejska;2635
2605062;Słupia (Konecka);gmina wiejska;2840
2605072;Smyków;gmina wiejska;3004
2606012;Baćkowice;gmina wiejska;4044
2606022;Iwaniska;gmina wiejska;5513
2606032;Lipnik;gmina wiejska;4482
2606062;Sadowie;gmina wiejska;3361
2606072;Tarłów;gmina wiejska;4508
2606082;Wojciechowice;gmina wiejska;3410
2607022;Bałtów;gmina wiejska;2963
2607032;Bodzechów;gmina wiejska;11334
2607062;Waśniów;gmina wiejska;5652
2608022;Kije;gmina wiejska;3745
2608032;Michałów;gmina wiejska;3796
2608052;Złota;gmina wiejska;3821
2609022;Dwikozy;gmina wiejska;7500
2609032;Klimontów;gmina wiejska;6754
2609052;Łoniów;gmina wiejska;6157
2609062;Obrazów;gmina wiejska;5458
2609072;Samborzec;gmina wiejska;7138
2609082;Wilczyce;gmina wiejska;3176
2610022;Bliżyn;gmina wiejska;6982
2610032;Łączna;gmina wiejska;4195
2610042;Skarżysko Kościelne;gmina wiejska;5131
2611022;Brody;gmina wiejska;9092
2611032;Mirzec;gmina wiejska;6822
2611042;Pawłów;gmina wiejska;12227
2612012;Bogoria;gmina wiejska;6359
2612022;Łubnice;gmina wiejska;3479
2612032;Oleśnica;gmina wiejska;3201
2612062;Rytwiany;gmina wiejska;5232
2612082;Szydłów;gmina wiejska;3986
2613012;Kluczewsko;gmina wiejska;4222
2613022;Krasocin;gmina wiejska;8621
2613032;Moskorzew;gmina wiejska;2325
2613042;Radków;gmina wiejska;2150
2613052;Secemin;gmina wiejska;4066
2801032;Bartoszyce;gmina wiejska;8857
2801052;Górowo Iławeckie;gmina wiejska;5667
2802022;Braniewo;gmina wiejska;4982
2802042;Lelkowo;gmina wiejska;2489
2802062;Płoskinia;gmina wiejska;2037
2802072;Wilczęta;gmina wiejska;2492
2803022;Działdowo;gmina wiejska;7626
2803032;Iłowo-Osada;gmina wiejska;5799
2803052;Płośnica;gmina wiejska;4585
2803062;Rybno;gmina wiejska;5792
2804012;Elbląg;gmina wiejska;5986
2804022;Godkowo;gmina wiejska;2549
2804032;Gronowo Elbląskie;gmina wiejska;4111
2804042;Markusy;gmina wiejska;3253
2804052;Milejewo;gmina wiejska;2687
2804082;Rychliki;gmina wiejska;3174
2805022;Ełk;gmina wiejska;9029
2805032;Kalinowo;gmina wiejska;5530
2805042;Prostki;gmina wiejska;5904
2805052;Stare Juchy;gmina wiejska;3133
2806042;Giżycko;gmina wiejska;6789
2806052;Kruklanki;gmina wiejska;2533
2806062;Miłki;gmina wiejska;3076
2806102;Wydminy;gmina wiejska;5210
2807032;Iława;gmina wiejska;10033
2807052;Lubawa;gmina wiejska;8277
2808022;Barciany;gmina wiejska;5225
2808032;Kętrzyn;gmina wiejska;6720
2808062;Srokowo;gmina wiejska;3249
2809022;Kiwity;gmina wiejska;2773
2809032;Lidzbark Warmiński;gmina wiejska;5519
2809042;Lubomino;gmina wiejska;2878
2810032;Mrągowo;gmina wiejska;6431
2810042;Piecki;gmina wiejska;6237
2810052;Sorkwity;gmina wiejska;3659
2811012;Janowiec Kościelny;gmina wiejska;2583
2811022;Janowo;gmina wiejska;2180
2811032;Kozłowo;gmina wiejska;4812
2812022;Biskupiec;gmina wiejska;7519
2812032;Grodziczno;gmina wiejska;4906
2812042;Kurzętnik;gmina wiejska;7037
2812052;Nowe Miasto Lubawskie;gmina wiejska;6389
2813032;Kowale Oleckie;gmina wiejska;4158
2813052;Świętajno;gmina wiejska;3287
2813062;Wieliczki;gmina wiejska;2716
2814042;Dywity;gmina wiejska;9076
2814052;Gietrzwałd;gmina wiejska;5220
2814072;Jonkowo;gmina wiejska;5741
2814082;Kolno;gmina wiejska;2693
2814102;Purda;gmina wiejska;6989
2814112;Stawiguda;gmina wiejska;6617
2814122;Świątki;gmina wiejska;3349
2815022;Dąbrówno;gmina wiejska;3525
2815032;Grunwald;gmina wiejska;4474
2815042;Łukta;gmina wiejska;3594
2815052;Małdyty;gmina wiejska;5142
2815092;Ostróda;gmina wiejska;12781
2817022;Dźwierzuty;gmina wiejska;5386
2817032;Jedwabno;gmina wiejska;2962
2817052;Rozogi;gmina wiejska;4529
2817062;Szczytno;gmina wiejska;9962
2817072;Świętajno;gmina wiejska;4850
2817082;Wielbark;gmina wiejska;5202
2818012;Banie Mazurskie;gmina wiejska;3212
2818022;Dubeninki;gmina wiejska;2442
2819012;Budry;gmina wiejska;2390
2819022;Pozezdrze;gmina wiejska;2737
3001022;Budzyń;gmina wiejska;6714
3001032;Chodzież;gmina wiejska;4705
3002022;Czarnków;gmina wiejska;8958
3002032;Drawsko;gmina wiejska;4745
3002052;Lubasz;gmina wiejska;5962
3002062;Połajewo;gmina wiejska;4892
3003032;Gniezno;gmina wiejska;8634
3003042;Kiszkowo;gmina wiejska;4304
3003062;Łubowo;gmina wiejska;4957
3003072;Mieleszyn;gmina wiejska;3152
3003082;Niechanowo;gmina wiejska;4510
3004042;Pępowo;gmina wiejska;4783
3004052;Piaski;gmina wiejska;6858
3005012;Granowo;gmina wiejska;3954
3005032;Kamieniec;gmina wiejska;5255
3006032;Kotlin;gmina wiejska;5880
3007012;Blizanów;gmina wiejska;7954
3007022;Brzeziny;gmina wiejska;4658
3007032;Ceków-Kolonia;gmina wiejska;3860
3007042;Godziesze Wielkie;gmina wiejska;7419
3007052;Koźminek;gmina wiejska;6071
3007062;Lisków;gmina wiejska;4314
3007072;Mycielin;gmina wiejska;3998
3007082;Opatówek;gmina wiejska;8813
3007102;Szczytniki;gmina wiejska;6302
3007112;Żelazków;gmina wiejska;7593
3008012;Baranów;gmina wiejska;6285
3008022;Bralin;gmina wiejska;4819
3008042;Łęka Opatowska;gmina wiejska;4199
3008052;Perzów;gmina wiejska;3068
3008062;Rychtal;gmina wiejska;3169
3008072;Trzcinica;gmina wiejska;3953
3009022;Babiak;gmina wiejska;6553
3009032;Chodów;gmina wiejska;2672
3009052;Grzegorzew;gmina wiejska;4603
3009072;Koło;gmina wiejska;6052
3009082;Kościelec;gmina wiejska;5404
3009092;Olszówka;gmina wiejska;3764
3009102;Osiek Mały;gmina wiejska;4763
3010022;Grodziec;gmina wiejska;4176
3010032;Kazimierz Biskupi;gmina wiejska;9310
3010052;Kramsk;gmina wiejska;8862
3010062;Krzymów;gmina wiejska;6205
3010082;Rzgów;gmina wiejska;5760
3010092;Skulsk;gmina wiejska;4958
3010112;Stare Miasto;gmina wiejska;9398
3010132;Wierzbinek;gmina wiejska;5899
3010142;Wilczyn;gmina wiejska;4981
3011032;Kościan;gmina wiejska;12884
3012052;Rozdrażew;gmina wiejska;4071
3013012;Krzemieniewo;gmina wiejska;6705
3013022;Lipno;gmina wiejska;5876
3013052;Święciechowa;gmina wiejska;6241
3013062;Wijewo;gmina wiejska;2914
3013072;Włoszakowice;gmina wiejska;7300
3014012;Chrzypsko Wielkie;gmina wiejska;2651
3014022;Kwilcz;gmina wiejska;5054
3015012;Kuślin;gmina wiejska;4283
3015032;Miedzichowo;gmina wiejska;2945
3016032;Ryczywół;gmina wiejska;5758
3017042;Ostrów Wielkopolski;gmina wiejska;15266
3017052;Przygodzice;gmina wiejska;9617
3017072;Sieroszewice;gmina wiejska;7809
3017082;Sośnie;gmina wiejska;5274
3018012;Czajków;gmina wiejska;2038
3018022;Doruchów;gmina wiejska;4195
3018042;Kobyla Góra;gmina wiejska;4951
3018052;Kraszewice;gmina wiejska;2866
3019022;Białośliwie;gmina wiejska;3881
3019032;Kaczory;gmina wiejska;6323
3019052;Miasteczko Krajeńskie;gmina wiejska;2589
3019062;Szydłowo;gmina wiejska;7015
3020022;Czermin;gmina wiejska;3870
3020042;Gizałki;gmina wiejska;3627
3020052;Gołuchów;gmina wiejska;8455
3021042;Czerwonak;gmina wiejska;21764
3021052;Dopiewo;gmina wiejska;17967
3021062;Kleszczewo;gmina wiejska;5710
3021072;Komorniki;gmina wiejska;19782
3021132;Rokietnica;gmina wiejska;12130
3021152;Suchy Las;gmina wiejska;12727
3021172;Tarnowo Podgórne;gmina wiejska;19594
3022042;Pakosław;gmina wiejska;3724
3023022;Lądek;gmina wiejska;4718
3023032;Orchowo;gmina wiejska;3100
3023042;Ostrowite;gmina wiejska;4164
3023052;Powidz;gmina wiejska;1918
3023062;Słupca;gmina wiejska;7400
3023072;Strzałkowo;gmina wiejska;8313
3024022;Duszniki;gmina wiejska;6939
3024032;Kaźmierz;gmina wiejska;6544
3024042;Obrzycko;gmina wiejska;3610
3025012;Dominowo;gmina wiejska;2328
3025022;Krzykosy;gmina wiejska;5488
3025032;Nowe Miasto nad Wartą;gmina wiejska;7274
3025052;Zaniemyśl;gmina wiejska;5415
3026012;Brodnica;gmina wiejska;3861
3027022;Brudzew;gmina wiejska;4767
3027042;Kawęczyn;gmina wiejska;4157
3027052;Malanów;gmina wiejska;5209
3027062;Przykona;gmina wiejska;3554
3027082;Turek;gmina wiejska;7426
3027092;Władysławów;gmina wiejska;6453
3028022;Damasławek;gmina wiejska;4367
3028042;Mieścisko;gmina wiejska;4740
3028062;Wapno;gmina wiejska;2419
3028072;Wągrowiec;gmina wiejska;9442
3029012;Przemęt;gmina wiejska;11063
3029022;Siedlec;gmina wiejska;9840
3030012;Kołaczkowo;gmina wiejska;4790
3031042;Lipka;gmina wiejska;4469
3031062;Tarnówka;gmina wiejska;2458
3031072;Zakrzewo;gmina wiejska;3960
3031082;Złotów;gmina wiejska;7620
3201022;Białogard;gmina wiejska;6330
3202012;Bierzwnik;gmina wiejska;3925
3202042;Krzęcin;gmina wiejska;3112
3203042;Ostrowice;gmina wiejska;2062
3203052;Wierzchowo;gmina wiejska;3558
3204052;Osina;gmina wiejska;2446
3204062;Przybiernów;gmina wiejska;4169
3205012;Brojce;gmina wiejska;2981
3205032;Karnice;gmina wiejska;3353
3205072;Rewal;gmina wiejska;3218
3206012;Banie;gmina wiejska;5230
3206072;Stare Czarnowo;gmina wiejska;3175
3206092;Widuchowa;gmina wiejska;4477
3207052;Świerzno;gmina wiejska;3466
3208022;Dygowo;gmina wiejska;4546
3208042;Kołobrzeg;gmina wiejska;8645
3208052;Rymań;gmina wiejska;3262
3208062;Siemyśl;gmina wiejska;3021
3208072;Ustronie Morskie;gmina wiejska;3044
3209012;Będzino;gmina wiejska;7046
3209022;Biesiekierz;gmina wiejska;5397
3209042;Manowo;gmina wiejska;5520
3209052;Mielno;gmina wiejska;4222
3209082;Świeszyno;gmina wiejska;5682
3210022;Boleszkowice;gmina wiejska;2356
3210052;Nowogródek Pomorski;gmina wiejska;2713
3211012;Dobra (Szczecińska);gmina wiejska;16578
3211022;Kołbaskowo;gmina wiejska;9640
3212012;Bielice;gmina wiejska;2527
3212022;Kozielice;gmina wiejska;2092
3212042;Przelewice;gmina wiejska;4307
3212062;Warnice;gmina wiejska;2860
3213032;Darłowo;gmina wiejska;6497
3213042;Malechowo;gmina wiejska;5177
3213052;Postomino;gmina wiejska;5563
3213062;Sławno;gmina wiejska;7138
3214042;Dolice;gmina wiejska;6418
3214062;Kobylanka;gmina wiejska;4267
3214082;Marianowo;gmina wiejska;2541
3214092;Stara Dąbrowa;gmina wiejska;2945
3214102;Stargard;gmina wiejska;10289
3215052;Grzmiąca;gmina wiejska;3993
3215062;Szczecinek;gmina wiejska;7503
3216022;Brzeżno;gmina wiejska;2250
3216042;Rąbino;gmina wiejska;3020
3216052;Sławoborze;gmina wiejska;3360
3216062;Świdwin;gmina wiejska;4873
3217052;Wałcz;gmina wiejska;10213
3218032;Radowo Małe;gmina wiejska;2985
0201044;Nowogrodziec - miasto;miasto w gminie m-w;3515
0202034;Pieszyce - miasto;miasto w gminie m-w;5981
0202074;Niemcza - miasto;miasto w gminie m-w;2608
0204014;Góra - miasto;miasto w gminie m-w;10087
0204044;Wąsosz - miasto;miasto w gminie m-w;2194
0205024;Bolków - miasto;miasto w gminie m-w;4367
0207034;Lubawka - miasto;miasto w gminie m-w;5181
0208064;Bystrzyca Kłodzka - miasto;miasto w gminie m-w;8743
0208084;Lądek-Zdrój - miasto;miasto w gminie m-w;4988
0208104;Międzylesie - miasto;miasto w gminie m-w;2214
0208124;Radków - miasto;miasto w gminie m-w;2063
0208134;Stronie Śląskie - miasto;miasto w gminie m-w;5061
0208144;Szczytna - miasto;miasto w gminie m-w;4463
0209074;Prochowice - miasto;miasto w gminie m-w;2972
0210034;Leśna - miasto;miasto w gminie m-w;3841
0210054;Olszyna - miasto;miasto w gminie m-w;3700
0211044;Ścinawa - miasto;miasto w gminie m-w;4760
0212014;Gryfów Śląski - miasto;miasto w gminie m-w;5776
0212024;Lubomierz - miasto;miasto w gminie m-w;1591
0212034;Lwówek Śląski - miasto;miasto w gminie m-w;7627
0212044;Mirsk - miasto;miasto w gminie m-w;3370
0212054;Wleń - miasto;miasto w gminie m-w;1565
0213034;Milicz - miasto;miasto w gminie m-w;9415
0214024;Bierutów - miasto;miasto w gminie m-w;4135
0214054;Międzybórz - miasto;miasto w gminie m-w;1900
0214074;Syców - miasto;miasto w gminie m-w;8670
0214084;Twardogóra - miasto;miasto w gminie m-w;5645
0215034;Jelcz-Laskowice - miasto;miasto w gminie m-w;13005
0216014;Chocianów - miasto;miasto w gminie m-w;6626
0216044;Polkowice - miasto;miasto w gminie m-w;18210
0216054;Przemków - miasto;miasto w gminie m-w;5196
0217044;Strzelin - miasto;miasto w gminie m-w;10430
0217054;Wiązów - miasto;miasto w gminie m-w;1902
0218044;Środa Śląska - miasto;miasto w gminie m-w;7747
0219044;Jaworzyna Śląska - miasto;miasto w gminie m-w;4329
0219064;Strzegom - miasto;miasto w gminie m-w;13740
0219084;Żarów - miasto;miasto w gminie m-w;5685
0220014;Oborniki Śląskie - miasto;miasto w gminie m-w;7579
0220024;Prusice - miasto;miasto w gminie m-w;1831
