"idno";"cntry";"stratex1";"czy_50plus";"n_psu";"psu";"prob_psu";"prob_ind";"pop15_stratex1"
381;"Poland";12400;FALSE;16;12931;0,00370419563253797;0,01659751037;862063
385;"Poland";89301;TRUE;12;100385;6,90850263962372e-05;1;173699
387;"Poland";11600;FALSE;8;12760;0,0036708285179582;0,01612903226;422248
396;"Poland";90112;TRUE;8;100396;6,17522192203782e-05;1;129550
401;"Poland";22200;FALSE;2;21915;0,0814605282224015;0,00076599004;96157
402;"Poland";40200;FALSE;3;49309;0,349546038442617;0,00012639429;316881
403;"Poland";12600;FALSE;9;12914;0,020201804774351;0,00287150036;586111
407;"Poland";99998;FALSE;3;40905;0,503070248054673;0,00018404343;216847
408;"Poland";11200;FALSE;23;18526;0,0206908956854806;0,0030651341;1371799
416;"Poland";90118;TRUE;4;100416;9,42906982226203e-05;1;42422
421;"Poland";62710;TRUE;9;100421;8,04052424218059e-05;1;111933
425;"Poland";10600;FALSE;18;14312;0,0036655738596507;0,01619433198;960218
436;"Poland";32800;FALSE;3;39109;0,147738833402348;0,00043336945;140569
464;"Poland";90106;TRUE;11;100464;6,83238301096908e-05;1;160998
466;"Poland";22400;FALSE;2;22923;0,116535765255971;0,00046641247;110388
470;"Poland";42400;FALSE;6;42725;0,762535266511137;9,544717e-05;357232
472;"Poland";90111;TRUE;3;100472;7,03878369817695e-05;1;42621
473;"Poland";69306;TRUE;3;100473;3,34191090465528e-05;1;89769
474;"Poland";31400;FALSE;5;32919;0,138408427816447;0,00041919933;310234
486;"Poland";13200;FALSE;8;13309;0,0131325148144684;0,00527704485;432895
489;"Poland";89302;TRUE;5;100489;3,40766588517529e-05;1;146728
493;"Poland";42800;FALSE;3;40127;0,240080255880941;0,00022771263;182918
507;"Poland";70901;TRUE;17;100507;5,47567511853226e-05;1;310464
509;"Poland";42200;FALSE;5;41905;0,513337045232746;0,00011567715;336806
511;"Poland";10200;FALSE;11;19319;0,0140233573239787;0,0038647343;719603
513;"Poland";11000;FALSE;14;14728;0,00331559772470405;0,01581027668;763060
519;"Poland";10400;FALSE;9;19121;0,0256620051394867;0,00239091452;668235
524;"Poland";69702;TRUE;9;100524;8,81739181550097e-05;1;102071
526;"Poland";12000;FALSE;7;10512;0,00323099106492804;0,01731601732;393223
530;"Poland";11400;FALSE;27;10130;0,00311419832593845;0,01941747573;1537956
542;"Poland";12200;FALSE;11;13308;0,00744464145640414;0,00753295669;606275
544;"Poland";71901;TRUE;21;100544;5,30939890019594e-05;1;395525
545;"Poland";42400;FALSE;6;42910;0,375663432094096;0,00019374213;357232
552;"Poland";54706;TRUE;4;100552;6,02554832489757e-05;1;66384
557;"Poland";90106;TRUE;11;100557;6,83238301096908e-05;1;160998
567;"Poland";33200;FALSE;3;38106;0,307536102470162;0,0002822666;161277
568;"Poland";63301;TRUE;8;100568;8,45594452900389e-05;1;94608
574;"Poland";11800;FALSE;19;18532;0,00659344554888544;0,00925925926;1015554
588;"Poland";11000;FALSE;14;14717;0,00294865410295454;0,01777777778;763060
602;"Poland";11000;FALSE;14;14724;0,00623804156974052;0,00840336134;763060
605;"Poland";10400;FALSE;9;10915;0,00743937387450515;0,00824742268;668235
612;"Poland";11800;FALSE;19;18529;0,00863863467757547;0,00706713781;1015554
617;"Poland";78101;TRUE;22;100617;6,20401625452259e-05;1;354609
620;"Poland";90112;TRUE;8;100620;6,17522192203782e-05;1;129550
650;"Poland";83501;TRUE;38;100650;5,75833481080082e-05;1;659913
655;"Poland";42600;FALSE;2;42909;0,459378254570361;0,00018880393;80708
662;"Poland";11200;FALSE;23;12944;0,00361496108544723;0,01754385965;1371799
663;"Poland";32400;FALSE;3;32736;0,222331538545391;0,00029649616;151698
670;"Poland";90103;TRUE;10;100670;8,42658756909802e-05;1;118672
679;"Poland";84702;TRUE;10;100679;6,51143407824139e-05;1;153576
680;"Poland";69102;TRUE;7;100680;6,46806623299823e-05;1;108224
695;"Poland";11200;FALSE;23;13516;0,00391620784272787;0,01619433198;1371799
697;"Poland";58903;TRUE;4;100697;7,73978831678954e-05;1;51681
700;"Poland";11400;FALSE;27;17113;0,00400612891392753;0,01509433962;1537956
704;"Poland";31600;FALSE;2;32735;0,37622384336731;0,00025958855;81914
707;"Poland";12400;FALSE;16;12928;0,00613267243759725;0,01002506266;862063
708;"Poland";11400;FALSE;27;17109;0,00622839665129815;0,00970873786;1537956
717;"Poland";74301;TRUE;22;100717;7,25447716653312e-05;1;303261
718;"Poland";43000;FALSE;5;40906;0,202057093796562;0,00019021351;286205
736;"Poland";50502;TRUE;3;100736;5,1497725517123e-05;1;58255
739;"Poland";32800;FALSE;3;30506;0,261958718693637;0,00024441063;140569
741;"Poland";11000;FALSE;14;14717;0,00294865410295454;0,01777777778;763060
743;"Poland";62710;TRUE;9;100743;8,04052424218059e-05;1;111933
746;"Poland";12400;FALSE;16;12935;0,00416529882316733;0,0147601476;862063
747;"Poland";69306;TRUE;3;100747;3,34191090465528e-05;1;89769
753;"Poland";12400;FALSE;16;12741;0,011435359131231;0,00537634409;862063
760;"Poland";12200;FALSE;11;11916;0,0262875757641054;0,00213333333;606275
762;"Poland";40200;FALSE;3;48904;0,264398934126501;0,00016709834;316881
763;"Poland";69701;TRUE;6;100763;5,54472281006552e-05;1;108211
764;"Poland";32800;FALSE;3;30509;0,178295001656213;0,00035909866;140569
765;"Poland";62703;TRUE;7;100765;4,08379956711725e-05;1;171409
769;"Poland";58102;TRUE;4;100769;6,69680227691277e-05;1;59730
774;"Poland";83501;TRUE;38;100774;5,75833481080082e-05;1;659913
776;"Poland";12600;FALSE;9;12916;0,00364009547687797;0,01593625498;586111
777;"Poland";11000;FALSE;14;14720;0,00488821324722753;0,01072386059;763060
793;"Poland";74301;TRUE;22;100793;7,25447716653312e-05;1;303261
799;"Poland";10600;FALSE;18;14311;0,00411078525896151;0,01444043321;960218
801;"Poland";65101;TRUE;10;100801;6,54690200597078e-05;1;152744
813;"Poland";10600;FALSE;18;12941;0,00676721327913302;0,00877192982;960218
829;"Poland";31400;FALSE;5;39107;0,227252655481772;0,00025531372;310234
833;"Poland";50502;TRUE;3;100833;5,1497725517123e-05;1;58255
835;"Poland";72701;TRUE;15;100835;5,54299144162122e-05;1;270612
845;"Poland";72902;TRUE;11;100845;5,76674058579599e-05;1;190749
846;"Poland";12200;FALSE;11;13308;0,00744464145640414;0,00753295669;606275
849;"Poland";13200;FALSE;8;13306;0,00855865741211007;0,00809716599;432895
850;"Poland";12400;FALSE;16;12936;0,0139099462553477;0,0044198895;862063
854;"Poland";83501;TRUE;38;100854;5,75833481080082e-05;1;659913
888;"Poland";12400;FALSE;16;12745;0,0058252703098745;0,01055408971;862063
891;"Poland";13000;FALSE;22;12506;0,0031890968857594;0,01860465116;1230364
894;"Poland";11400;FALSE;27;17112;0,00557834554451904;0,0108401084;1537956
898;"Poland";20400;FALSE;2;29118;0,0398780806167497;0,0010201219;122909
901;"Poland";70501;TRUE;16;100901;6,26996100867998e-05;1;255185
907;"Poland";72702;TRUE;12;100907;6,20758152623738e-05;1;193312
909;"Poland";11400;FALSE;27;14506;0,0718684409727396;0,00084139672;1537956
913;"Poland";12800;FALSE;8;15109;0,00288618155269036;0,01923076923;468439
940;"Poland";20200;FALSE;4;29323;0,0315181538400949;0,00092378753;240417
967;"Poland";11800;FALSE;19;18524;0,042658982194599;0,00143112701;1015554
980;"Poland";13200;FALSE;8;18110;0,00616777740591636;0,01123595506;432895
982;"Poland";13000;FALSE;22;16318;0,00569587536776716;0,01041666667;1230364
983;"Poland";31800;FALSE;2;38515;0,21197233854846;0,00037839372;87272
984;"Poland";71902;TRUE;12;100984;5,59086080620213e-05;1;214636
994;"Poland";12800;FALSE;8;10510;0,00371873392339141;0,01492537313;468439
1017;"Poland";32800;FALSE;3;30509;0,178295001656213;0,00035909866;140569
1018;"Poland";42400;FALSE;6;42910;0,375663432094096;0,00019374213;357232
1033;"Poland";10200;FALSE;11;19319;0,0140233573239787;0,0038647343;719603
1037;"Poland";12200;FALSE;11;13307;0,00267782771763161;0,02094240838;606275
1038;"Poland";72701;TRUE;15;101038;5,54299144162122e-05;1;270612
1039;"Poland";72701;TRUE;15;101039;5,54299144162122e-05;1;270612
1044;"Poland";41400;FALSE;8;44712;0,439874966812703;0,00011508473;434586
1055;"Poland";11800;FALSE;19;18516;0,011843781819561;0,00515463918;1015554
1059;"Poland";11000;FALSE;14;14718;0,0025423950938413;0,0206185567;763060
1067;"Poland";71901;TRUE;21;101067;5,30939890019594e-05;1;395525
1070;"Poland";10400;FALSE;9;10915;0,00743937387450515;0,00824742268;668235
1088;"Poland";79101;TRUE;13;101088;7,29812269828438e-05;1;178128
1093;"Poland";11200;FALSE;23;13519;0,0121767110243473;0,00520833333;1371799
1094;"Poland";99998;FALSE;3;34715;0,174233686754888;0,00034864464;216847
1095;"Poland";11400;FALSE;27;17113;0,00400612891392753;0,01509433962;1537956
1100;"Poland";10400;FALSE;9;19116;0,00553734838971225;0,01108033241;668235
1111;"Poland";62708;TRUE;7;101111;5,81187781772291e-05;1;120443
1117;"Poland";11000;FALSE;14;19113;0,0035252797944904;0,01486988848;763060
1119;"Poland";11400;FALSE;27;14716;0,0123358535613428;0,00490196078;1537956
1123;"Poland";11400;FALSE;27;17112;0,00557834554451904;0,0108401084;1537956
1125;"Poland";41200;FALSE;4;42728;0,528579421519566;0,00012542724;256417
1132;"Poland";62707;TRUE;5;101132;4,08944432630494e-05;1;122266
1136;"Poland";90113;TRUE;4;101136;6,70994581718753e-05;1;59613
1137;"Poland";90101;TRUE;6;101137;6,04162680871203e-05;1;99311
1139;"Poland";13000;FALSE;22;16319;0,0138688631995734;0,00427807487;1230364
1141;"Poland";42200;FALSE;5;41904;0,573295892857303;0,00010357891;336806
1151;"Poland";13200;FALSE;8;18109;0,00382887305235794;0,01809954751;432895
1152;"Poland";10200;FALSE;11;19321;0,00464735416620279;0,01166180758;719603
1156;"Poland";11800;FALSE;19;18511;0,0180403996260724;0,00338409475;1015554
1157;"Poland";62705;TRUE;10;101157;6,32683145953675e-05;1;158057
1165;"Poland";72902;TRUE;11;101165;5,76674058579599e-05;1;190749
1172;"Poland";62705;TRUE;10;101172;6,32683145953675e-05;1;158057
1174;"Poland";41200;FALSE;4;42733;0,287653216215587;0,0002304798;256417
1175;"Poland";78101;TRUE;22;101175;6,20401625452259e-05;1;354609
1177;"Poland";63301;TRUE;8;101177;8,45594452900389e-05;1;94608
1178;"Poland";72903;TRUE;13;101178;7,26967705857682e-05;1;178825
1183;"Poland";72903;TRUE;13;101183;7,26967705857682e-05;1;178825
1188;"Poland";11400;FALSE;27;12940;0,0134243112297127;0,0045045045;1537956
1192;"Poland";74301;TRUE;22;101192;7,25447716653312e-05;1;303261
1193;"Poland";11600;FALSE;8;12743;0,00633513953793936;0,00934579439;422248
1195;"Poland";10200;FALSE;11;19318;0,00253368871412547;0,02139037433;719603
1202;"Poland";54302;TRUE;3;101202;5,13013440952153e-05;1;58478
1208;"Poland";70501;TRUE;16;101208;6,26996100867998e-05;1;255185
1210;"Poland";11200;FALSE;23;13511;0,0080860971648059;0,00784313725;1371799
1216;"Poland";21800;FALSE;2;28535;0,0366824439508468;0,00154792771;123279
1217;"Poland";11600;FALSE;8;12743;0,00633513953793936;0,00934579439;422248
1221;"Poland";65102;TRUE;7;101221;6,43962392596272e-05;1;108702
1222;"Poland";11600;FALSE;8;12744;0,0114565373901278;0,00516795866;422248
1230;"Poland";11400;FALSE;27;10132;0,0052457612573082;0,01152737752;1537956
1233;"Poland";33000;FALSE;4;30911;0,128709248761532;0,00042109696;221406
1238;"Poland";13200;FALSE;8;19714;0,00675683479838774;0,01025641026;432895
1239;"Poland";65102;TRUE;7;101239;6,43962392596272e-05;1;108702
1252;"Poland";10800;FALSE;6;19709;0,00596036565363819;0,01152737752;305644
1257;"Poland";43200;FALSE;2;48104;0,333627152645912;0,00013814492;216972
1261;"Poland";11000;FALSE;14;14720;0,00488821324722753;0,01072386059;763060
1262;"Poland";70501;TRUE;16;101262;6,26996100867998e-05;1;255185
1269;"Poland";12200;FALSE;11;13308;0,00744464145640414;0,00753295669;606275
1287;"Poland";71901;TRUE;21;101287;5,30939890019594e-05;1;395525
1289;"Poland";62708;TRUE;7;101289;5,81187781772291e-05;1;120443
1291;"Poland";41000;FALSE;3;49105;0,611457539354154;9,852192e-05;298795
1296;"Poland";10600;FALSE;18;17106;0,00372493537924152;0,01593625498;960218
1297;"Poland";23000;FALSE;4;20919;0,0322231126509757;0,00153016334;243375
1300;"Poland";40800;FALSE;2;49703;0,534059910511763;0,0001216508;107744
1303;"Poland";42400;FALSE;6;42726;0,604635079362826;0,00012037316;357232
1304;"Poland";53502;TRUE;4;101304;5,61057031447247e-05;1;71294
1309;"Poland";59308;TRUE;5;101309;8,67167311261035e-05;1;57659
1313;"Poland";12400;FALSE;16;12739;0,0976155454888873;0,00062982208;862063
1318;"Poland";13000;FALSE;22;12511;0,00351542307820921;0,01687763713;1230364
1330;"Poland";11400;FALSE;27;17110;0,00464106255286593;0,01302931596;1537956
1333;"Poland";42200;FALSE;5;41905;0,513337045232746;0,00011567715;336806
1336;"Poland";90112;TRUE;8;101336;6,17522192203782e-05;1;129550
1340;"Poland";84705;TRUE;6;101340;4,93380478579064e-05;1;121610
1348;"Poland";33200;FALSE;3;38105;0,309771387100317;0,00028022979;161277
1350;"Poland";90111;TRUE;3;101350;7,03878369817695e-05;1;42621
1354;"Poland";70501;TRUE;16;101354;6,26996100867998e-05;1;255185
1364;"Poland";31400;FALSE;5;30129;0,152521967983336;0,00038040894;310234
1365;"Poland";72902;TRUE;11;101365;5,76674058579599e-05;1;190749
1366;"Poland";10400;FALSE;9;19117;0,00501582527254366;0,0122324159;668235
1367;"Poland";11400;FALSE;27;12934;0,00309908085826034;0,01951219512;1537956
1371;"Poland";90109;TRUE;6;101371;5,30002561679048e-05;1;113207
1374;"Poland";13000;FALSE;22;10912;0,00468723077153781;0,01265822785;1230364
1375;"Poland";11200;FALSE;23;18521;0,0167588327516429;0,00378429518;1371799
1376;"Poland";23000;FALSE;4;20919;0,0322231126509757;0,00153016334;243375
1380;"Poland";21600;FALSE;2;22921;0,144666821316578;0,00045599115;106114
1381;"Poland";69702;TRUE;9;101381;8,81739181550097e-05;1;102071
1388;"Poland";52721;TRUE;4;101388;7,91420996399034e-05;1;50542
1391;"Poland";83501;TRUE;38;101391;5,75833481080082e-05;1;659913
1394;"Poland";86301;TRUE;4;101394;3,8586946036156e-05;1;103662
1395;"Poland";42800;FALSE;3;45104;0,291797419056209;0,00018735363;182918
1397;"Poland";11800;FALSE;19;18525;0,0122558721658335;0,00498132005;1015554
1402;"Poland";10800;FALSE;6;19712;0,00480951695378089;0,01428571429;305644
1407;"Poland";78101;TRUE;22;101407;6,20401625452259e-05;1;354609
1409;"Poland";54709;TRUE;4;101409;7,63927350508967e-05;1;52361
1410;"Poland";41200;FALSE;4;42727;0,562426338721365;0,000117879;256417
1424;"Poland";71901;TRUE;21;101424;5,30939890019594e-05;1;395525
1440;"Poland";90117;TRUE;8;101440;6,50639253066137e-05;1;122956
1451;"Poland";42200;FALSE;5;45103;0,469660567580497;0,00012643464;336806
1458;"Poland";13200;FALSE;8;18108;0,00583859827452865;0,0118694362;432895
1461;"Poland";11400;FALSE;27;10123;0,00885883601403353;0,00682593857;1537956
1463;"Poland";30400;FALSE;3;39110;0,139171590686838;0,00042078244;153686
1477;"Poland";84704;TRUE;5;101477;7,68887727014101e-05;1;65029
1478;"Poland";11200;FALSE;23;12754;0,0898666641750061;0,0007057163;1371799
1486;"Poland";20800;FALSE;2;29713;0,0438220266949056;0,0011806027;77315
1489;"Poland";12200;FALSE;11;11914;0,00438827264747666;0,01277955272;606275
1494;"Poland";11200;FALSE;23;18533;0,0456309561570918;0,00138985407;1371799
1496;"Poland";40600;FALSE;2;44305;0,269435931209266;0,00011576117;192368
1498;"Poland";56306;TRUE;4;101498;6,78725353785591e-05;1;58934
1503;"Poland";72901;TRUE;12;101503;5,74734664163378e-05;1;208792
1506;"Poland";31200;FALSE;3;32918;0,149414710527901;0,00040383645;165730
1523;"Poland";10200;FALSE;11;19312;0,00330598955294801;0,01639344262;719603
1535;"Poland";11200;FALSE;23;18528;0,0102423897418709;0,00619195046;1371799
1552;"Poland";52717;TRUE;3;101552;5,36922361026596e-05;1;55874
1554;"Poland";11600;FALSE;8;12743;0,00633513953793936;0,00934579439;422248
1572;"Poland";65101;TRUE;10;101572;6,54690200597078e-05;1;152744
1573;"Poland";11200;FALSE;23;13509;0,0110985647354284;0,00571428571;1371799
1574;"Poland";21000;FALSE;2;24729;0,049456610378131;0,00165220983;85666
1587;"Poland";11800;FALSE;19;18512;0,00445668078743829;0,01369863014;1015554
1589;"Poland";89302;TRUE;5;101589;3,40766588517529e-05;1;146728
1591;"Poland";58903;TRUE;4;101591;7,73978831678954e-05;1;51681
1598;"Poland";31800;FALSE;2;38515;0,21197233854846;0,00037839372;87272
1600;"Poland";10600;FALSE;18;12945;0,00914167407886397;0,00649350649;960218
1603;"Poland";12600;FALSE;9;12912;0,00527886355934791;0,01098901099;586111
1604;"Poland";22000;FALSE;2;20513;0,0525890349379852;0,00134634803;84742
1613;"Poland";11400;FALSE;27;17108;0,00403636384893719;0,01498127341;1537956
1617;"Poland";20800;FALSE;2;29715;0,0366940437806503;0,00140994008;77315
1618;"Poland";89301;TRUE;12;101618;6,90850263962372e-05;1;173699
1623;"Poland";11800;FALSE;19;18510;0,00605925435821346;0,01007556675;1015554
1625;"Poland";30200;FALSE;4;39314;0,115093561488137;0,00039568701;197624
1630;"Poland";10400;FALSE;9;19106;0,00375803422603349;0,01632653061;668235
1640;"Poland";11800;FALSE;19;18514;0,00975280487494479;0,00625978091;1015554
1644;"Poland";11000;FALSE;14;14719;0,00305349513784399;0,01716738197;763060
1656;"Poland";12400;FALSE;16;12937;0,0179061739083888;0,00343347639;862063
1663;"Poland";12800;FALSE;8;10134;0,00488430724237994;0,01136363636;468439
1669;"Poland";13000;FALSE;22;10920;0,00372308520076786;0,01593625498;1230364
1670;"Poland";10200;FALSE;11;19325;0,00342793179038562;0,01581027668;719603
1672;"Poland";31800;FALSE;2;38509;0,267296497289205;0,00030007502;87272
1675;"Poland";11800;FALSE;19;18508;0,0309220386160522;0,00197433366;1015554
1677;"Poland";31400;FALSE;5;32917;0,14658934935127;0,00039580447;310234
1679;"Poland";69701;TRUE;6;101679;5,54472281006552e-05;1;108211
1684;"Poland";31600;FALSE;2;32734;0,41433698629865;0,00023571008;81914
1687;"Poland";41400;FALSE;8;40124;0,293411549272333;0,00017253204;434586
1689;"Poland";58504;TRUE;3;101689;5,76147493758402e-05;1;52070
1697;"Poland";79101;TRUE;13;101697;7,29812269828438e-05;1;178128
1703;"Poland";99999;TRUE;6;101703;3,64287782832398e-05;1;206289
1713;"Poland";69702;TRUE;9;101713;8,81739181550097e-05;1;102071
1729;"Poland";74301;TRUE;22;101729;7,25447716653312e-05;1;303261
1739;"Poland";11400;FALSE;27;17103;0,0049282944384459;0,01226993865;1537956
1743;"Poland";11600;FALSE;8;12759;0,0108348648175104;0,00546448087;422248
1747;"Poland";11800;FALSE;19;18514;0,00975280487494479;0,00625978091;1015554
1751;"Poland";42200;FALSE;5;41905;0,513337045232746;0,00011567715;336806
1753;"Poland";10400;FALSE;9;19116;0,00553734838971225;0,01108033241;668235
1761;"Poland";12600;FALSE;9;12916;0,00364009547687797;0,01593625498;586111
1776;"Poland";90102;TRUE;5;101776;6,82509998771482e-05;1;73259
1777;"Poland";11400;FALSE;27;17109;0,00622839665129815;0,00970873786;1537956
1780;"Poland";62707;TRUE;5;101780;4,08944432630494e-05;1;122266
1781;"Poland";23000;FALSE;4;20919;0,0322231126509757;0,00153016334;243375
1783;"Poland";52713;TRUE;6;101783;7,28756740999854e-05;1;82332
1797;"Poland";83501;TRUE;38;101797;5,75833481080082e-05;1;659913
1803;"Poland";84703;TRUE;11;101803;8,65719097763297e-05;1;127062
1805;"Poland";84701;TRUE;12;101805;6,35542727007918e-05;1;188815
1809;"Poland";21600;FALSE;2;22762;0,0514887293621075;0,00128118894;106114
1813;"Poland";58504;TRUE;3;101813;5,76147493758402e-05;1;52070
1817;"Poland";86303;TRUE;9;101817;7,32481484495809e-05;1;122870
1841;"Poland";83501;TRUE;38;101841;5,75833481080082e-05;1;659913
1842;"Poland";71901;TRUE;21;101842;5,30939890019594e-05;1;395525
1854;"Poland";12000;FALSE;7;14510;0,00472759731581052;0,01183431953;393223
1861;"Poland";10400;FALSE;9;19116;0,00553734838971225;0,01108033241;668235
1870;"Poland";11600;FALSE;8;12760;0,0036708285179582;0,01612903226;422248
1874;"Poland";84703;TRUE;11;101874;8,65719097763297e-05;1;127062
1885;"Poland";11200;FALSE;23;13515;0,00737261800303628;0,00860215054;1371799
1886;"Poland";90106;TRUE;11;101886;6,83238301096908e-05;1;160998
1896;"Poland";12200;FALSE;11;11914;0,00438827264747666;0,01277955272;606275
1899;"Poland";40200;FALSE;3;48904;0,264398934126501;0,00016709834;316881
1906;"Poland";70901;TRUE;17;101906;5,47567511853226e-05;1;310464
1915;"Poland";42200;FALSE;5;41905;0,513337045232746;0,00011567715;336806
1928;"Poland";11600;FALSE;8;12752;0,00999116632889462;0,00592592593;422248
1929;"Poland";84701;TRUE;12;101929;6,35542727007918e-05;1;188815
1931;"Poland";11000;FALSE;14;14724;0,00623804156974052;0,00840336134;763060
1933;"Poland";59308;TRUE;5;101933;8,67167311261035e-05;1;57659
1937;"Poland";72702;TRUE;12;101937;6,20758152623738e-05;1;193312
1940;"Poland";54710;TRUE;2;101940;3,98049557169868e-05;1;50245
